p0,p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,2048,256,0.007917500000000001,1314.7363545894623
 , , ,100,8,128,0.0057295,1325.144951581955
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,4,0.0101815,1334.789179801941
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,80,80,64,0.0095315,1344.4878196716309
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,50,8,0.020983,1355.3723611831665
 , , ,16,16,80,0.005696,1365.3804285526276
#pragma clang loop(j2) pack array(A) allocate(malloc), , ,32,80,64,0.0095815,1375.5936360359192
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,16,0.0120725,1385.8405272960663
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,32,8,4,0.0604075,1397.801941871643
#pragma clang loop(j2) pack array(A) allocate(malloc),#pragma clang loop(m2) pack array(B) allocate(malloc), ,100,50,16,0.030074,1408.6792469024658
 ,#pragma clang loop(m2) pack array(B) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,128,128,0.0095255,1418.64013838768
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,50,0.008004500000000001,1428.612991809845
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,4,64,20,0.0124375,1438.9549016952515
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,8,4,0.036782499999999996,1450.8367476463318
 , ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,80,64,0.005972,1460.1625590324402
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,2048,64,0.013407,1470.6005170345306
#pragma clang loop(j2) pack array(A) allocate(malloc), ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,32,32,0.012258999999999999,1481.329082250595
 ,#pragma clang loop(m2) pack array(B) allocate(malloc), ,64,16,4,0.0597225,1492.7138526439667
