p1,p2,p3,p4,p5,objective,elapsed_sec
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,2048,100,0.024571,1319.3883128166199
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",128,50,8,0.008786,1326.8430964946747
 , ,96,8,50,0.020135,1334.1322944164276
 , ,8,4,16,0.028895999999999998,1341.5296161174774
 , ,20,16,64,0.0223405,1349.4572863578796
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,64,100,0.025079,1357.796285867691
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",80,2048,50,0.0197265,1364.8894085884094
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,32,32,0.0183615,1373.132203578949
 , ,20,8,100,0.0242,1380.6873104572296
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,16,4,0.0029565,1388.173718214035
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",100,8,16,0.013571,1396.3939435482025
#pragma clang loop(j2) pack array(data) allocate(malloc), ,80,4,256,0.033267500000000005,1404.6761236190796
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,16,256,0.028062,1413.181741476059
 , ,32,100,32,0.016602,1420.535504579544
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",8,100,80,0.024228,1428.9124085903168
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,50,0.021363,1437.2837748527527
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",50,100,8,0.008415,1445.4820487499237
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,64,128,0.026214,1453.926938533783
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",20,4,8,0.009218500000000001,1462.6813895702362
 , ,4,8,64,0.022486,1471.3054082393646
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,80,20,0.004710499999999999,1482.0599563121796
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",64,32,128,0.0263605,1490.421367406845
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",4,16,50,0.0228305,1498.6911714076996
#pragma clang loop(j2) pack array(data) allocate(malloc), ,50,100,16,0.0153085,1506.7663371562958
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",16,80,16,0.011962,1514.1877315044403
 , ,96,128,100,0.0245025,1521.7796964645386
 ,"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",96,128,50,0.0196845,1529.7558245658875
 , ,50,8,32,0.0164995,1537.0760231018066
 , ,96,16,4,0.0012335,1544.988093137741
#pragma clang loop(j2) pack array(data) allocate(malloc),"#pragma clang loop(i1,j1,k1,i2,j2) interchange permutation(j1,k1,i1,j2,i2)",32,64,100,0.045511,1553.342960357666
#pragma clang loop(j2) pack array(data) allocate(malloc), ,32,2048,100,0.028580500000000002,1560.8488273620605
 , ,20,100,16,0.011354,1568.1075975894928
