p0,p1,p2,p3,p4,p5,p6,p7,p8,objective,elapsed_sec
48,1000, ,#pragma omp parallel for,4,128,64,balanced,sockets,0.16432999999999998,2750.752142429352
128,1280,#pragma clang loop unrolling full,#pragma omp parallel for,128,96,160,disabled,sockets,0.302415,2775.5126678943634
8,400, , ,32,16,20,disabled,sockets,0.249315,2794.3070611953735
16,400,#pragma clang loop unrolling full, ,8,8,10,explicit,sockets,0.14815,2820.860263109207
2,100,#pragma clang loop unrolling full,#pragma omp parallel for,32,2,10,explicit,sockets,0.98297,2838.2598056793213
256,1280, , ,96,32,128,explicit,cores,0.48863500000000004,2854.5169882774353
4,640, , ,8,8,40,none,cores,0.49722,2869.9491877555847
4,640,#pragma clang loop unrolling full,#pragma omp parallel for,16,96,40,none,cores,0.495455,2885.8240835666656
96,1280, ,#pragma omp parallel for,4,256,64,compact,sockets,0.14704499999999998,2900.530791759491
192,1280,#pragma clang loop unrolling full, ,16,64,100,disabled,cores,0.31669,2915.8306000232697
256,800, , ,256,16,128,balanced,threads,0.270665,2930.826708316803
4,1000,#pragma clang loop unrolling full, ,96,16,160,balanced,threads,0.489925,2946.2930722236633
128,1600, ,#pragma omp parallel for,16,128,128,balanced,cores,0.224765,2961.599673271179
32,200,#pragma clang loop unrolling full, ,96,16,128,scatter,sockets,0.10275000000000001,2975.8394610881805
128,100, , ,256,32,20,compact,cores,0.11753,2990.1236743927
4,800, , ,96,4,10,disabled,cores,0.49167,3006.131041288376
256,1280,#pragma clang loop unrolling full, ,64,64,100,disabled,threads,0.427515,3021.3751471042633
2,100, ,#pragma omp parallel for,128,256,10,disabled,threads,1.006545,3038.9716758728027
128,100,#pragma clang loop unrolling full, ,256,2,64,balanced,sockets,0.1202,3053.4009714126587
48,100, ,#pragma omp parallel for,4,128,128,compact,cores,0.10296,3068.359258890152
96,640, ,#pragma omp parallel for,4,64,40,compact,threads,0.144325,3083.078811645508
256,1000, , ,64,4,80,disabled,cores,0.375655,3098.17241024971
48,200,#pragma clang loop unrolling full, ,16,32,100,scatter,cores,0.10714,3112.5801496505737
64,640, , ,4,64,40,scatter,cores,0.16042,3127.2313861846924
96,2000, , ,96,2,200,explicit,sockets,0.265335,3142.1623940467834
32,800, ,#pragma omp parallel for,4,16,100,scatter,sockets,0.137805,3156.7713162899017
16,400,#pragma clang loop unrolling full,#pragma omp parallel for,16,16,160,disabled,cores,0.1473,3171.5862514972687
256,1600, , ,4,2,20,none,sockets,0.49866,3187.175610780716
96,400,#pragma clang loop unrolling full,#pragma omp parallel for,256,2,100,none,cores,0.17777500000000002,3202.4312579631805
